Program	xPONENT		Intelliflex																																																													
"25(1,C1)"	2-SERPR7115	3554.63184	4735.87695	362.43359	9108.09473	3126.77246	2789.8457	3773.0332	1993.0293	259.03613	1320.83789	197.07227	335.80859	254.08008	1188.73242	306.66602	1705.87305	364.74707	389.75586	4013.4707	1417.13281	168.58496	118.5332	14390.20605	385.43945	235.34766	2277.29688	1036.45996	210.33789	8825.91406	687.07227	1464.75977	2617.125	1143.1875	192.26465	1752.5625	474.52832	128.11719	2657.23242	655.14453	7911.00195	152.02344	154.09375	157.50977	262.89062	335.3877	2046.35938	178.75391	161.08105	149.87891	908.19434	498.50586	316.86523	555.99414	623.01953	124.71289	510.74023	153.97266	193.17188	604.91895	154.33105	523.78906	238.0293	4123
"26(1,C2)"	2-SERPR7123	2184.93555	2074.58398	185.17383	1392.49414	1524.21973	2908.5293	346.71094	728.15137	250.66309	741.56348	245.94434	133.40918	7383.06836	1738.32129	1560.7832	4544.28516	463.39648	776.09961	119	2697.82422	229.49609	287.69727	9402.85352	175.40137	1010.01562	1575.48047	1763.62988	215.85938	3424.73633	395.55176	537.6543	703.01367	4387.12598	437.33203	1168.85547	267.83691	247.88281	258.77637	318.36523	2123.03711	308.70508	239.76562	469.35352	441.25586	1262.99805	321.07812	247.79004	259.16797	310.36035	997.20117	465.92871	629.7793	526.82617	509.90039	95.94922	285.38867	233.9043	333.79102	640.48242	196.3125	677.40137	912.04688	4092
"27(1,C3)"	2-SERPR7131	962.31348	1736.31348	193.41602	3402.41992	1717.85742	174.8252	353.36719	213.66797	214.54492	2081.99512	150.84082	273.63867	5757.92676	207.23828	3852.64062	3387.91211	447.19434	487.90625	741.23828	643.36523	175.00781	195.59961	5068.59863	278.78711	405.39453	542.78711	2216.32324	127.18066	4886.32422	290.53223	455.74219	632.55273	3349.96875	112.94141	693.6748	551.66797	130.19531	138.72363	778.3457	2845.36133	187.66992	105.03516	158.22852	358.5957	177.48242	218.15527	150.95117	168.17188	148.25977	1171.70996	1073.40137	348.92969	921.68555	1087.96484	62.93652	922.34863	140.30664	396.99609	1064.41211	86.61523	970.30078	183.82227	3044
"28(1,C4)"	2-SERPR7139	4511.74902	7414.79492	341.22656	2023.86523	3851.75586	661.62109	1810.55273	569.06445	327.20117	4799.75586	390.57812	147.05664	7161.10938	1225.23828	1137.99609	1186.21582	365.3877	568.62109	2564.08691	1895.1416	480.23828	78.96094	11019.6748	612.72461	463.33789	1138.28516	2714.12988	282.83105	4632.83496	112.61816	1961.58984	2604.74414	5940.23145	289.73535	1293.96289	895.59082	457.92383	567.94141	350.77148	5132.05273	482.79883	285.73438	468.08984	489.87012	354.9668	411.16309	259.02734	382.30664	337.39453	1352.33105	1510.9082	943.82031	1494.76562	1558.37305	223.45312	1523.05273	200.3418	263.57422	1797.40039	224.69922	1506.42773	555.6416	3195
"29(1,C5)"	2-SERPR7147	1165.18359	2305.63086	150.50488	923.85742	2901.92578	361.5625	433.35449	325.38574	183.97754	418.95312	122.65625	333.66797	9521.65527	441.94922	831.15234	922.89453	288.25977	424.49805	901.16504	1213.71094	112.28906	190.28809	6990.84277	219.58594	556.95801	772.64648	1891.23828	261.17188	2278.5332	86.21973	1286.54688	2070.99707	7359.52148	151.84082	1081.75391	267.74219	114.95996	155.99707	262.59277	3513.82812	127.96094	89.4043	388.1582	140.63867	201.18555	176.68652	111.03906	147.95117	153.62109	819.45703	629.11523	461.64844	659.16016	701.78711	79.35352	531.44727	271.4668	541.30469	750.46289	243.12109	638.62695	381.94531	3135
"30(1,C6)"	2-SERPR7155	4168.41992	5690.14258	332.91992	9492.33203	5524.29395	1119.72363	2952.40918	559.63477	428.56152	1896.01465	166.71289	916.44531	2813.57812	253.30078	1576.33203	1612.66406	524.49805	713.33008	2328.09375	938.50195	596.65625	96.97266	15470.57715	340.41211	283.20312	812.23438	10912.12207	393.79297	6156.10156	158.81738	497.64746	574.49805	3891.97461	429.56445	1439.31836	833.44434	540.55664	483.77539	907.21094	5476.02344	615.42969	374.53125	739.82617	339.86621	396.4043	698.59375	383.56836	479.58301	347.29688	907.15918	1100.69336	622.56445	1017.59766	1222.10352	143.67871	1112.72656	131.9082	175.41992	1139.89844	93.91309	1020.31934	148.53906	3452
"31(1,C7)"	2-SERPR7163	3775.47852	6174.92773	295.17383	4790.30859	1006.15039	1360.97266	2071.11035	328.07129	2819.78027	3365.63281	393.56445	150.63574	1842.6543	1549.12109	1990.13086	1764.32031	382.30078	168.44824	2273.09473	548.1543	516.37305	151.66406	15284.21875	235.55371	269.92188	189.17969	2879.40039	168.68945	12126.96094	262.38965	993.57812	1278.08008	6761.01562	269.07617	1223.72266	145.07617	435.80859	1812.56836	1238.58594	1743.80469	520.50977	288.8916	414.54492	273.96289	331.27344	481.63867	229.54883	372.24414	215.37305	820.33398	245.45508	284.11328	351.89258	381.5625	115.78809	265.5957	214.99316	214.9082	334.40137	92.01172	252.00391	453.55371	4096
"32(1,C8)"	2-SERPR7171	3003.94531	6187.11133	332.26074	2366.7373	1995.7168	1640.38867	630.39648	541.68555	252.36816	1211.41699	307.16992	148.25391	8822.91211	710.56152	1846.19043	5364.37305	343.42773	575.05078	2591.04688	1580.52734	354.01172	123.81738	12564.24414	1969.11426	772.69141	569.11133	4534.41699	339.11523	5732.16016	88.8252	2126.21289	3981.57031	893.92773	220.71777	1292.35938	1129.45703	220.57227	250.92773	632.32227	3015.37109	198.50586	175.53711	447.04883	287.88867	445.77832	290.27832	196.45312	229.46387	219.08203	977.64844	4058.82812	1507.07422	2882.06543	2714.61816	212.875	3070.95508	241.76953	263.30078	4965.50586	598.875	3162.74414	516.85938	3801
"33(1,C9)"	2-SERPR7179	4854.51953	5164.20508	148.09766	1119.92578	4570.10254	1049.04883	1398.95117	704.74023	3759.81836	1474.21387	164.54297	102.23047	12383.70312	610.13672	2080.71289	2202.61426	305.94043	1291.36914	2647.90234	899.80469	206.29883	308.76953	11641.22168	274.92188	345.17188	481.61133	7388.38281	231.51758	7049.85547	447.16406	1812.20117	2797.97461	9474.22266	153.57715	467.15234	282.66602	190.78125	244.76562	1256.82422	4517.83008	199.65039	149.53418	170.08887	225.1377	250.7832	219.86621	139.02344	176.54785	170.22852	1131.16113	390.44531	443.52637	498.43164	551.37012	111.7666	384.14844	340.10156	405.79199	577.21582	924.26074	439.11133	605.82422	3392
"34(1,C10)"	2-SERPR7187	3094.68457	3888.41016	640.54395	10980.15039	1282.79297	339.18262	2179.12891	536.83984	2883.07812	4989.2793	258.71289	135.05078	12293.23047	1525.45898	1582.32422	3503.24707	803.7207	541.58105	325.52148	2859.01172	1213.49414	153.81934	13279.75977	1540.5957	1049.55273	775.85059	2027.24023	443.00781	9555.25977	120.93848	1083.20996	1696.21387	4229.76758	634.57031	1849.33301	2684.12207	1130.89844	738.33594	1732.0957	3390.81445	1218.9707	712.30762	938.12305	809.01953	799.00195	1005.11719	595.16016	894.63672	668.75879	2115.30371	7594.61523	2788.42383	6126.91309	6536.44336	156.49609	6455.36133	229.31641	331.18262	7787.95508	263.71289	6400.00977	896.76367	3950
