Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,05/11/2022,4:45 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX16145704,,,,,,,,,,,,,,,
Batch,IgG_CovidOiseS4_30plex_plate5_20220511,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,mph,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Covid_30plex_new,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,65 uL,,,,,,,,,,,,,,,
BatchStartTime,5/12/2022 6:17:40 PM,,,,,,,,,,,,,,,
BatchStopTime,5/12/2022 7:19:45 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,30,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
"83(1,G11)",Unknown87,28466,4047.5,3050,1357,3846,,,,,,,,,,
"84(1,G12)",Unknown95,16011,1220.5,785,561,1079,,,,,,,,,,
"85(1,H1)",Unknown8,25100,501,2356,3322,1346.5,,,,,,,,,,
"86(1,H2)",Unknown16,10248,353,4575.5,1998,390.5,,,,,,,,,,
"87(1,H3)",Unknown24,27089,333,1333,381,1780,,,,,,,,,,
"88(1,H4)",Unknown32,13245,299,1222,637,966,,,,,,,,,,
"89(1,H5)",Unknown40,21935,407,2106,248,661.5,,,,,,,,,,
"90(1,H6)",Unknown48,20000.5,289,1239,453.5,381,,,,,,,,,,
"91(1,H7)",Unknown56,8883.5,595,4600.5,1948,2105,,,,,,,,,,
"92(1,H8)",Unknown64,23628,346,4970,887.5,2620,,,,,,,,,,
"93(1,H9)",Unknown72,23516.5,397,1691,712,907,,,,,,,,,,
"94(1,H10)",Unknown80,4025.5,310,910,775,850,,,,,,,,,,
"95(1,H11)",Unknown88,16988,223,701,382.5,3567,,,,,,,,,,
"96(1,H12)",Unknown96,9198.5,744,1147,753,1092.5,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,,,,
Location,Sample,Spike_6P,ME,HKU1_S,OC43_NP,OC43_S,,,,,,,,,,
"1(1,A1)",B,48,65,74,71,52,,,,,,,,,,
"2(1,A2)",S,67,53,56,50,35,,,,,,,,,,
"3(1,A3)",S,56,76,84,72,51,,,,,,,,,,
"4(1,A4)",S,47,70,67,64,44,,,,,,,,,,
"5(1,A5)",S,43,60,70,44,46,,,,,,,,,,
"6(1,A6)",S,56,83,69,65,62,,,,,,,,,,
"7(1,A7)",S,48,60,63,52,43,,,,,,,,,,
